IN_FID	NEAR_FID	NEAR_DIST	reserve	vegetation
5718	150	98.85057318510	Bruce Ridge NR	Forest
5719	98	55.19815903320	Bruce Ridge NR	Open Forest
5719	139	37.46771823410	Bruce Ridge NR	Open Forest
5719	223	59.24383730560	Bruce Ridge NR	Open Forest
5719	141	94.80951089220	Bruce Ridge NR	Open Forest
5720	138	9.58602027396	Bruce Ridge NR	Forest
5720	167	74.93885119240	Bruce Ridge NR	Forest
5721	76	76.72840595570	Bruce Ridge NR	Forest
5721	148	61.79316736340	Bruce Ridge NR	Forest
5721	149	55.42331872190	Bruce Ridge NR	Forest
5722	148	83.48687015200	Bruce Ridge NR	Open Forest
5722	207	97.10997127410	Bruce Ridge NR	Open Forest
5722	149	37.64549069920	Bruce Ridge NR	Open Forest
5723	148	87.89579821330	Bruce Ridge NR	Open Forest
5723	207	66.45370488400	Bruce Ridge NR	Open Forest
5723	208	83.85641049240	Bruce Ridge NR	Open Forest
5723	149	47.94443889070	Bruce Ridge NR	Open Forest
5724	98	48.36411318470	Bruce Ridge NR	Open Forest
5724	139	20.97668620730	Bruce Ridge NR	Open Forest
5725	138	62.37101216930	Bruce Ridge NR	Forest
5725	141	83.88420113480	Bruce Ridge NR	Forest
5726	126	49.42701928530	Bruce Ridge NR	Open Forest
5726	158	56.44128209180	Bruce Ridge NR	Open Forest
5727	98	62.23833200670	Bruce Ridge NR	Forest
5727	138	99.09122156160	Bruce Ridge NR	Forest
5727	139	85.22534346270	Bruce Ridge NR	Forest
5728	126	54.22109920730	Bruce Ridge NR	Open Forest
5729	167	95.53411668080	Bruce Ridge NR	Open Forest
5729	166	54.40227889700	Bruce Ridge NR	Open Forest
5730	148	92.06494958890	Bruce Ridge NR	Open Forest
5730	207	97.73063716340	Bruce Ridge NR	Open Forest
5730	208	64.76365562940	Bruce Ridge NR	Open Forest
5730	126	84.50514370460	Bruce Ridge NR	Open Forest
5731	98	27.23550804100	Bruce Ridge NR	Open Forest
5731	223	76.14267448050	Bruce Ridge NR	Open Forest
5732	76	52.85966177550	Bruce Ridge NR	Forest
5732	138	51.50015443720	Bruce Ridge NR	Forest
